"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"102","267","鑁阿寺鐘楼","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","鎌倉後期","19080801","","栃木県","栃木県足利市家富町","","鑁阿寺","","36.33704093000000","139.45253969000000"
"102","266","鑁阿寺本堂","","国宝・重要文化財（建造物）","国宝","近世以前／寺院","","鎌倉後期","19080801","20130807","栃木県","栃木県足利市家富町","","鑁阿寺","","36.33754921000000","139.45226988000000"
"102","378","二荒山神社","別宮本宮神社鳥居","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸後期","19730602","","栃木県","栃木県日光市山内","","二荒山神社","","36.75412186000000","139.60455885000000"
"102","377","二荒山神社","別宮本宮神社拝殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19730602","","栃木県","栃木県日光市山内","","二荒山神社","","36.75446126000000","139.60449054000000"
"102","375","二荒山神社","末社朋友神社本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸後期","19730602","","栃木県","栃木県日光市山内","","二荒山神社","","36.75877005000000","139.59599212000000"
"102","376","二荒山神社","末社日枝神社本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸前期","19730602","","栃木県","栃木県日光市山内","","二荒山神社","","36.75835959000000","139.59600126000000"
"102","373","二荒山神社","神輿舎","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸前期","19730602","","栃木県","栃木県日光市山内","","二荒山神社","","36.75849284000000","139.59595194000000"
"102","374","二荒山神社","大国殿","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","19730602","","栃木県","栃木県日光市山内","","二荒山神社","","36.75858868000000","139.59607470000000"
"102","344","輪王寺","児玉堂","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","輪王寺","","36.75640122000000","139.60336755000000"
"102","340","輪王寺","慈眼堂拝殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","輪王寺","","36.75710105000000","139.59525360000000"
"102","334","輪王寺","本坊表門","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","19440905","","栃木県","栃木県日光市山内","","輪王寺","","36.75456226000000","139.60008506000000"
"102","346","輪王寺","観音堂","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","19730602","","栃木県","栃木県日光市山内","","輪王寺","","36.75489099000000","139.60426685000000"
