"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"102","2289","姫路城","化粧櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83937062000000","134.69224816000000"
"102","2316","姫路城","との二門東方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83938229000000","134.69453168000000"
"102","2345","姫路城","トの櫓南方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83938780000000","134.69437843000000"
"102","2301","姫路城","ろの門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83940563000000","134.69264885000000"
"102","2306","姫路城","との二門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83942181000000","134.69448529000000"
"102","2332","姫路城","ろの門東方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83942707000000","134.69277078000000"
"102","2329","姫路城","はの門東方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83943899000000","134.69314113000000"
"102","2278","姫路城","トの櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83945038000000","134.69439006000000"
"102","2290","姫路城","カの渡櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83945231000000","134.69213146000000"
"102","2291","姫路城","ヌの櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83945620000000","134.69192917000000"
"102","2317","姫路城","との一門東方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83949510000000","134.69453946000000"
